# File Name: Ruimin_qPCR.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272530695
# Instrument Serial Number: 272530695
# Heated Cover Serial Number: 
# Block serial number: 
# Run Start Date/Time: 2023-12-21 12:31:53 AM UTC
# Run End Data/Time: 2023-12-21 02:17:41 AM UTC
# Run Duration: 105 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-02-13 04:28:30 AM UTC
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported By: guest
# Exported On: 2024-02-13 04:29:01 AM UTC
"Well","Well Position","Reading Number","Target","Temperature","Fluorescence","Derivative"
"1","A1","121","RPLP2","87.001708984375","85252.71875","2452.42578125"
"1","A1","122","RPLP2","87.22672271728516","87083.375","2417.3515625"
"1","A1","123","RPLP2","87.45173645019531","84599.2421875","2230.740234375"
"1","A1","124","RPLP2","87.67674255371094","85885.3359375","1886.521484375"
"1","A1","125","RPLP2","87.9017562866211","83630.84375","1413.59765625"
"1","A1","126","RPLP2","88.12677001953125","84184.6875","875.400390625"
"1","A1","127","RPLP2","88.35177612304688","84103.5234375","366.29296875"
"1","A1","128","RPLP2","88.57678985595703","85277.984375","-1.6171875"
"1","A1","129","RPLP2","88.80180358886719","85845.9453125","-129.169921875"
"1","A1","130","RPLP2","89.02680969238281","86069.109375","26.931640625"
"1","A1","131","RPLP2","89.25182342529297","82500.0","422.814453125"
"1","A1","132","RPLP2","89.47683715820312","81687.578125","934.556640625"
"1","A1","133","RPLP2","89.70184326171875","81888.7109375","1408.49609375"
"1","A1","134","RPLP2","89.92684936523438","80921.6171875","1726.01171875"
"1","A1","135","RPLP2","90.15187072753906","81277.84375","1842.650390625"
"1","A1","136","RPLP2","90.37687683105469","80331.9140625","1781.78125"
"1","A1","137","RPLP2","90.60188293457031","77973.40625","1599.0546875"
"1","A1","138","RPLP2","90.82689666748047","78969.296875","1349.302734375"
"1","A1","139","RPLP2","91.05191040039062","80610.9453125","1074.744140625"
"1","A1","140","RPLP2","91.27691650390625","78061.046875","809.798828125"
"1","A1","141","RPLP2","91.5019302368164","76662.8828125","588.234375"
"1","A1","142","RPLP2","91.72694396972656","79608.9609375","443.515625"
"1","A1","143","RPLP2","91.95195007324219","78655.1328125","401.15625"
"1","A1","144","RPLP2","92.17696380615234","77995.1484375","466.31640625"
"1","A1","145","RPLP2","92.4019775390625","75492.8046875","613.86328125"
"1","A1","146","RPLP2","92.62698364257812","76978.3515625","791.46484375"
"1","A1","147","RPLP2","92.85199737548828","75429.0078125","940.462890625"
"1","A1","148","RPLP2","93.07701110839844","75426.0546875","1023.76171875"
"1","A1","149","RPLP2","93.30201721191406","75264.4375","1041.603515625"
