# File Name: Ruimin_qPCR.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272530695
# Instrument Serial Number: 272530695
# Heated Cover Serial Number: 
# Block serial number: 
# Run Start Date/Time: 2023-12-21 12:31:53 AM UTC
# Run End Data/Time: 2023-12-21 02:17:41 AM UTC
# Run Duration: 105 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-02-13 04:28:30 AM UTC
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported By: guest
# Exported On: 2024-02-13 04:29:01 AM UTC
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"3","A3","4","RPLP2","1.5871708393096924","-0.00532285485948843","pRH108","FALSE"
"3","A3","5","RPLP2","1.618645191192627","-0.003641261373247346","pRH108","FALSE"
"3","A3","6","RPLP2","1.6435470581054688","-0.008532152857099257","pRH108","FALSE"
"3","A3","7","RPLP2","1.6873424053192139","0.005470435959952152","pRH108","FALSE"
"3","A3","8","RPLP2","1.7149287462234497","0.0032640184674945054","pRH108","FALSE"
"3","A3","9","RPLP2","1.7538957595825195","0.012438273429870621","pRH108","FALSE"
"3","A3","10","RPLP2","1.8136612176895142","0.042410973140171546","pRH108","FALSE"
"3","A3","11","RPLP2","1.8650071620941162","0.06396415914808011","pRH108","FALSE"
"3","A3","12","RPLP2","1.9270718097686768","0.09623604842594695","pRH108","FALSE"
"3","A3","13","RPLP2","2.0265231132507324","0.1658945935113089","pRH108","FALSE"
"3","A3","14","RPLP2","2.191887140274048","0.30146586213793086","pRH108","FALSE"
"3","A3","15","RPLP2","2.471165418624878","0.5509513820920672","pRH108","FALSE"
"3","A3","16","RPLP2","2.9223077297210693","0.9723009347915649","pRH108","FALSE"
"3","A3","17","RPLP2","3.5976357460021973","1.6178361926759994","pRH108","FALSE"
"3","A3","18","RPLP2","4.485058784484863","2.4754664727619713","pRH108","FALSE"
"3","A3","19","RPLP2","5.432500839233398","3.393115769113813","pRH108","FALSE"
"3","A3","20","RPLP2","6.23689079284668","4.1677129643304","pRH108","FALSE"
"3","A3","21","RPLP2","6.809412956237793","4.71044236932482","pRH108","FALSE"
"3","A3","22","RPLP2","7.183610916137695","5.054847570828029","pRH108","FALSE"
"3","A3","23","RPLP2","7.4319539070129395","5.27339780330658","pRH108","FALSE"
"3","A3","24","RPLP2","7.631661415100098","5.443312552997044","pRH108","FALSE"
"3","A3","25","RPLP2","7.795539855957031","5.577398235457284","pRH108","FALSE"
"3","A3","26","RPLP2","7.890685081481934","5.642750702585492","pRH108","FALSE"
