# File Name: Ruimin_qPCR.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272530695
# Instrument Serial Number: 272530695
# Heated Cover Serial Number: 
# Block serial number: 
# Run Start Date/Time: 2023-12-21 12:31:53 AM UTC
# Run End Data/Time: 2023-12-21 02:17:41 AM UTC
# Run Duration: 105 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-02-13 04:28:30 AM UTC
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported By: guest
# Exported On: 2024-02-13 04:29:02 AM UTC
"Well","Well Position","Sample","Target","Tm","Melt Peak Height"
"56","C8","pRH106_0.0001","RPLP2","90.93579864501953","7080.7900390625"
"73","D1","pRH106","RBD","83.62654876708984","101151.0859375"
"73","D1","pRH106","RBD","78.4512939453125","20832.158203125"
"73","D1","pRH106","RBD","60.78793716430664","21161.775390625"
"73","D1","pRH106","RBD","91.16441345214844","1108.162109375"
"73","D1","pRH106","RBD","68.21330261230469","22196.546875"
"74","D2","pRH107","RBD","83.40153503417969","110772.78125"
"74","D2","pRH107","RBD","78.4512939453125","21143.767578125"
"74","D2","pRH107","RBD","92.4019775390625","1145.349609375"
"74","D2","pRH107","RBD","72.60101318359375","22239.734375"
"74","D2","pRH107","RBD","67.08824157714844","22507.51171875"
"75","D3","pRH108","RBD","83.5140380859375","108562.1171875"
"75","D3","pRH108","RBD","91.61444091796875","1612.275390625"
"75","D3","pRH108","RBD","75.18863677978516","20849.3125"
"75","D3","pRH108","RBD","68.43830871582031","21338.716796875"
"75","D3","pRH108","RBD","78.00127410888672","20504.0234375"
"76","D4","pRH112","RBD","83.5140380859375","149700.953125"
"76","D4","pRH112","RBD","90.4893798828125","4594.154296875"
"76","D4","pRH112","RBD","72.3759994506836","18092.9375"
"76","D4","pRH112","RBD","65.17565155029297","21035.3671875"
"76","D4","pRH112","RBD","69.67587280273438","15093.3037109375"
"77","D5","pRH106_0.1","RBD","83.84882354736328","106589.1875"
"77","D5","pRH106_0.1","RBD","93.18563079833984","9626.7578125"
"77","D5","pRH106_0.1","RBD","69.22491455078125","17002.546875"
"78","D6","pRH106_0.01","RBD","83.84882354736328","83467.2109375"
"78","D6","pRH106_0.01","RBD","89.58589935302734","-9100.669921875"
"78","D6","pRH106_0.01","RBD","61.57548141479492","19922.94140625"
"78","D6","pRH106_0.01","RBD","75.52444458007812","21071.087890625"
"78","D6","pRH106_0.01","RBD","67.20006561279297","21921.291015625"
"79","D7","pRH106_0.001","RBD","83.84882354736328","88353.8828125"
"79","D7","pRH106_0.001","RBD","92.73566436767578","-17422.68359375"
"79","D7","pRH106_0.001","RBD","69.78736877441406","21952.359375"
"79","D7","pRH106_0.001","RBD","63.825313568115234","20823.611328125"
"79","D7","pRH106_0.001","RBD","88.3484878540039","-24524.484375"
"80","D8","pRH106_0.0001","RBD","83.84882354736328","42532.2109375"
"80","D8","pRH106_0.0001","RBD","70.12484741210938","17364.310546875"
"80","D8","pRH106_0.0001","RBD","92.84815979003906","17175.001953125"
"80","D8","pRH106_0.0001","RBD","62.137939453125","14763.908203125"
"80","D8","pRH106_0.0001","RBD","64.72525024414062","16240.9560546875"
"97","E1","pRH106","RBD","83.62654876708984","103222.1640625"
"97","E1","pRH106","RBD","65.8506851196289","21697.162109375"
"97","E1","pRH106","RBD","78.56380462646484","19681.416015625"
"97","E1","pRH106","RBD","61.23796081542969","20809.37890625"
"97","E1","pRH106","RBD","91.83944702148438","672.974609375"
"98","E2","pRH107","RBD","83.40153503417969","116556.9921875"
"98","E2","pRH107","RBD","72.03848266601562","24541.744140625"
